,baseTokenSymbol,quotoTokenName,priceUsd,volumeUsd24h
0,SOLAR,Wrapped SOL,0.004066851807100208,774750.68342078
1,KERMIT,Wrapped SOL,0.006048940054137945,4443311.587348242
2,BAG,Wrapped SOL,0.08432770296057134,9156701.94855254
3,boden,Wrapped SOL,0.30006080492504,8982636.967701823
4,PENG,Wrapped SOL,0.5635165244505472,7634677.680363553
5,SLERF,Wrapped SOL,0.5979299203368234,35299889.95817436
6,JIZZLORD,Wrapped SOL,0.020981259113239406,3797580.024645825
7,BOME,Wrapped SOL,0.014425818673480001,20099040.244769555
8,DUKO,Wrapped SOL,0.006973391896484338,4013514.3043408236
9,MUMU,Wrapped SOL,0.000019762629554844,2020151.3302310065
10,MONKEY,Wrapped SOL,0.000000005083679849052229,1548466.5377491093
11,tremp,Wrapped SOL,0.275686983489683,3043557.2126153563
12,ANDY,Wrapped SOL,0.02447691410561249,3163138.0666849525
13,$WIF,Wrapped SOL,2.8165200919748283,7891140.676914028
14,FILES,Wrapped SOL,0.08778062201188722,3038850.5576248355
15,POPCAT,Wrapped SOL,0.2153121756929315,4673811.090693969
16,CHEX,Wrapped SOL,0.20755144361827904,767785.8152527994
17,SHAD,Wrapped SOL,0.003585892046567106,1549020.808252333
18,MEDIA,Wrapped SOL,0.09473505082807375,2188227.24954165
19,SOLC,Wrapped SOL,0.31160554841718613,1875963.7346148926
20,never,Wrapped SOL,0.000284120519442729,919346.4323446797
21,$BABA,Wrapped SOL,0.009047375203173636,1487574.3775182217
22,CROCDOG,Wrapped SOL,0.2459672273663219,1271362.5503711042
23,PONKE,Wrapped SOL,0.07007135601516182,933926.3643627195
24,smole,Wrapped SOL,0.000116885186017858,9181511.052231953
25,SOLAMA,Wrapped SOL,0.037379384395058564,2357115.5072347387
26,SKID,Wrapped SOL,0.08256281982957389,2131388.537924168
27,KOKO,Wrapped SOL,0.00000184148635768,1530463.565100124
28,FATALITY,Wrapped SOL,0.002744226153490738,647752.0273180936
29,BCAT,Wrapped SOL,0.015752818998872792,1922168.9981878884
30,JEWS ,Wrapped SOL,0.001653143262136563,968002.2949022853
31,CHONKY,Wrapped SOL,0.000035045198030674,666703.5764520967
32,SOLMEME,Wrapped SOL,0.00000020146347198838824,35919.69531740075
33,BROC,Wrapped SOL,0.03438367357100833,1150815.563128566
34,HARAMBE,Wrapped SOL,0.025601697310441852,1206626.7094196938
35,IDK,Wrapped SOL,0.000974184284180533,1605624.5423947535
36,BONK2.0,Wrapped SOL,0.00000003992609084920355,204892.38074653296
37,USDC,USDT,1.0002658398304693,260213.70542870506
38,POPCAT,USD Coin,0.21337193157549955,598975.280259275
39,Mail,Wrapped SOL,0.016705212345577553,1464844.989441955
40,$MYRO,USD Coin,0.2469842670884558,1959667.5396332422
41,Moutai,Wrapped SOL,0.017850849635221912,375433.2918181214
42,acat,Wrapped SOL,0.003536528110651395,1214480.180043538
43,TRUMP,Wrapped SOL,5.450662383778417,607528.8769428255
44,LIKE,USD Coin,0.11417344806920685,653810.0673354946
45,BENJI,Wrapped SOL,0.003910228019922599,1371812.9648195233
46,😂,Wrapped SOL,0.000001022451937672,638771.5693605718
47,RAY,Wrapped SOL,2.09282005025795,3455891.4377832646
48,GRIM,Wrapped SOL,0.000361433914996095,543050.0618295175
49,UCIT,Wrapped SOL,0.000004019293080266,834296.5624710365
50,$NAP,Wrapped SOL,0.000015221808067593,3503065.37968071
51,NINJA,Wrapped SOL,0.00832379889087467,813154.3344408992
52,CAT,Wrapped SOL,0.00000000042352979899979354,1142065.4248794275
53,WYNN,Wrapped SOL,0.008201548592217087,735426.6975855592
54,GME,Wrapped SOL,0.001197504272420691,895522.0399388954
55,SLOW,Marinade staked SOL (mSOL),0.000328910782453873,101.16857483129635
56,PEPE,Wrapped SOL,0.0000004757785839592504,62305.884873625015
57,SNP,Wrapped SOL,0.007297813829002047,115845.7719241065
58,CHAT,Wrapped SOL,14.630788653779513,994879.6134526519
59,whoren,Wrapped SOL,0.14383692273257842,930426.8170879399
60,SILLY,Wrapped SOL,0.03562216255697308,690914.0502736289
61,PIGEON,Wrapped SOL,0.000303084093340992,158717.452110783
62,BALLZ,Wrapped SOL,0.03701567521931672,610818.2316446641
63,FLAPPI,Wrapped SOL,0.000585018346308768,394894.14688845066
64,FAM,Wrapped SOL,0.00922790006209928,508064.8444825782
65,SKID ,Wrapped SOL,0.000143513765813491,6030.872260055181
66,DITH,USD Coin,0.2617512738388756,325364.56909110333
67,HONK,Wrapped SOL,0.009455504259733528,602808.1206110697
68,SAMOWIF,Wrapped SOL,0.017075682216909586,51719.51257712994
69,Moutai,USD Coin,0.01802474693320576,55887.669164437764
70,SI,Wrapped SOL,0.006706587247371678,555669.295995668
71,BABY,Wrapped SOL,0.000018729033289572,940667.9844917542
72,KHAI,Wrapped SOL,0.5617924931748653,684635.2078314555
73,RETARDIO,Wrapped SOL,0.01729489779534176,1062396.9377639645
74,WIFS,Wrapped SOL,0.002491498347207017,777316.8165799461
75,WHALES,Wrapped SOL,2.170332198916785,730242.4646806454
76,PEPESORA,Wrapped SOL,0.001139386465679054,460177.6340989237
77,SOLAMA,USD Coin,0.0377790373310495,137786.80507817867
78,EWON,Wrapped SOL,0.002829288064713353,318003.4328234145
79,GUAC,USD Coin,0.0000003148728494883009,353416.9083887438
80,BENDOG,Wrapped SOL,0.01978227080790615,662173.2661126422
81,PAW,Wrapped SOL,0.004909968426798075,712019.4636037318
82,BOBRWIFHAT,Wrapped SOL,0.008779449163028169,19730.57571627178
83,HAMI,Wrapped SOL,0.001209589790600075,450777.39545442077
84,$daumen,Wrapped SOL,0.4760897949227251,473098.66326603945
85,STAN,Wrapped SOL,0.03322521550897238,408992.1517253624
86,SOL,USDT,185.08529855700928,380611.0927638757
87,NOWIF,Wrapped SOL,0.0248528495791445,467074.0656719585
88,RIE,Wrapped SOL,0.000000008802803610068439,17590.887786194715
89,STREAM,Wrapped SOL,0.19442821180756842,498386.16226922785
90,POU,Wrapped SOL,0.018664251392628707,460122.095172211
91,SNS,USD Coin,0.12983197484486086,115069.42811851826
92,BOR,Wrapped SOL,0.17356146013334167,35276.94000581356
93,Dank,Wrapped SOL,0.000350943187944809,324919.61506457237
94,SOLPHIN,Wrapped SOL,0.001203332581204321,415865.95233293914
95,SOL,USD Coin,184.99070326781435,933750.0917816682
96,PAJAMAS,Wrapped SOL,0.003626671506951654,671486.4365488098
97,GIGA,Wrapped SOL,0.001696365739212562,553279.5779527455
98,SIDO,Wrapped SOL,0.00568710107178394,382469.90653622523
99,BABYWIF,Wrapped SOL,0.00145786343859227,309780.98960835603
100,BRETT,Wrapped SOL,0.006173882716190576,513565.98302545486
101,monk,Wrapped SOL,0.008363491388952156,302132.71529379155
102,BABYSOL,Wrapped SOL,0.024529654502977956,528413.3039702381
103,white,Wrapped SOL,0.027551809532747266,17696.999044701475
104,CROWN,USD Coin,1.0817087016898177,155145.6845255764
105,RAY,USDT,2.0754483645585977,535785.978743513
106,ATLAS,Raydium,0.00784537582611476,299763.52254655736
107,MCULT,Wrapped SOL,0.000485816731068265,305788.6448992455
108,WEN,Wrapped SOL,0.000334153786724232,159975.57600528823
109,BULLY,Wrapped SOL,0.002238231226783198,372212.6302730864
110,LEH,Wrapped SOL,0.008921461638285283,540256.3762078956
111,LICK,Wrapped SOL,0.000113102384134942,33687.00531657462
112,SMOG,Wrapped SOL,0.18889422061755062,603930.409953262
